×Ö·û    Æµ¶È         ±àÂë
           1193          111
#          1          1100110000100
'          3          01100001010
*          1          1100110000101
,          49          0110010
-          14          100011010
.          46          0110001
0          1          1000110110100
6          1          1000110110101
:          1          1000110110110
;          2          110011000011
A          20          110011011
B          2          100011011001
C          3          01100001011
E          3          10001100100
F          3          01100001100
G          3          01100001101
H          2          011000010011
I          17          110011001
J          1          1000110110111
L          1          1000110110000
M          3          01100001110
N          1          1000110110001
O          7          1000110011
P          13          100011000
S          4          11001100000
T          10          1100110101
U          2          01100001000
V          2          100011001010
W          8          1100110001
Y          1          011000010010
a          462          1010
b          54          0110011
c          186          01001
d          207          01101
e          671          000
f          172          01000
g          78          1100111
h          262          11000
i          452          1001
j          8          1000110111
k          22          01100000
l          213          10000
m          112          100010
n          432          0111
o          490          1011
p          128          110010
q          3          01100001111
r          375          0101
s          346          0011
t          562          1101
u          159          00100
v          60          1000111
w          82          001010
x          9          1100110100
y          84          001011
z          2          100011001011
